,sarcasm_label,emotion_label,sentiment_label,id,sentence_level_similarity_emotion,sentence_level_similarity_word,exclamation,AUDIO_1,AUDIO_2,AUDIO_3,AUDIO_4,AUDIO_5,AUDIO_6,AUDIO_7,AUDIO_8
0,0,anger,0,1,0.0,0.0,0,-2.276626924943065,1.1942540016812904,1.0737619736568322,-0.12050570920689131,-0.308371417416758,0.027053669805294077,-0.521969239779113,-1.1443529945363677
1,0,anger,0,2,0.0,0.0,0,-0.9204191512666102,-0.2451563568612495,1.557068916070209,-0.23482830577764435,0.5402389585479499,1.073943320206947,0.07758415365871284,1.1990059926634549
2,0,anger,0,3,0.4398652948397188,0.913640330054312,0,-1.5118569883811837,-0.1187516808367502,0.13264712628756298,-0.8881762728477469,0.340908839150389,-1.1373108249175792,0.9613219250539722,1.5321511502700769
3,0,anger,0,4,0.009295023797137,0.9200261235687656,1,-1.032135720274028,1.5569105838573465,0.38588239450156464,-0.2523392220879613,-0.16426393326218192,-0.4120788667080157,-0.039663887572809114,-0.5330088999522926
4,0,anger,0,5,0.0,0.0,1,0.13939682118386387,-0.984471860691727,0.35838004532673673,0.5815635130586997,-0.5020987772515554,-0.1110400327686029,0.7874066892065168,0.2867327853380394
5,0,anger,0,6,0.0,0.0,0,1.5156605421650626,-1.3507016158443248,2.2779115921851796,-0.6895682913956639,0.16973621011514012,2.319344845767552,-0.8959974734370177,-1.4047183468042796
7,0,anger,0,8,0.0,0.0,0,-2.5041150633094964,-0.41306369390418046,-0.5129002175823129,0.6816147885899261,-0.9962044481691776,0.5551327581814401,0.7484994239811039,1.6601469260292658
8,0,anger,0,9,0.8008386592621901,0.3572839547376947,1,0.47776898694446324,1.137066568027578,0.4419010617497477,-0.5007914589663842,-0.5727895115418067,0.3175318313391326,-0.3205467665341895,0.29712197774421034
11,0,anger,0,12,-0.7567973922168312,0.9327698397313235,0,0.04782229473261759,-4.303797899198191,1.7949062349635099,-0.36597428043486746,-0.583937656935865,1.7541692603434524,-0.5743326203153363,-1.3431628932054271
12,0,anger,0,13,-0.087290995818088,0.8977830289413357,0,-2.143290409978787,-3.059333634056096,0.5701170815577726,-0.581279941692447,0.1772663978395694,0.5587417362989134,-0.22286531265425855,-0.5042674713728436
13,0,anger,0,14,0.5624724908310113,0.6015931137656726,0,-0.7778714907438137,-0.8223571816900535,0.528821588566293,-1.2934171598195086,-0.2503292661481113,1.4322238839879295,-0.30923023334270455,-0.6008017994034567
