,sarcasm_label,sentiment_label,emotion_label,id,duration,spectral_centroid,spectral_bandwidth,pitch,energy,loudness,AUDIO_1,AUDIO_2,AUDIO_3,AUDIO_4,AUDIO_5,AUDIO_6,AUDIO_7,AUDIO_8,Unnamed: 0,sentence_level_similarity_emotion,sentence_level_similarity_word,exclamation,TEXT_1,TEXT_2,TEXT_3,TEXT_4,TEXT_5,TEXT_6,TEXT_7,TEXT_8,TEXT_9,TEXT_10,TEXT_11,TEXT_12,TEXT_13,TEXT_14,TEXT_15,TEXT_16,TEXT_17,TEXT_18,TEXT_19,TEXT_20,TEXT_21,TEXT_22,TEXT_23,TEXT_24,TEXT_25,TEXT_26,TEXT_27,TEXT_28,TEXT_29,TEXT_30,TEXT_31,TEXT_32,TEXT_33,TEXT_34,TEXT_35,TEXT_36,TEXT_37,TEXT_38,TEXT_39,TEXT_40,TEXT_41,TEXT_42,TEXT_43,TEXT_44,TEXT_45,TEXT_46,TEXT_47,TEXT_48,TEXT_49,TEXT_50
6,0,0,anger,7,2.11,3548.516203394649,3020.359135486398,1704.3306884765625,0.0003938518425411,0.0146139115,-1.2461339777063623,-0.4686903641484245,0.3917945938399369,-0.95480578477888,1.1736256507512592,-0.2694409424872392,0.8987825772014154,-1.469514623065831,6,0.4180894854585909,0.9255489442650184,0,-4.246305661584945,8.633175925207482,-6.589389410583146,1.3032129948652422,-5.817404507899582,-3.9283124407062084,-0.7490711930444367,-2.4937852393140845,-0.17931912638871333,-1.5813064129833165,3.0205559504771147,1.0815597430662434,1.000362918537546,3.9895800441218556,1.204821928294324,-1.2325984238651198,-0.8631338923901783,0.35837222981854244,-0.6303402657417796,0.23185589433714385,0.27406116426816823,1.307833303958021,1.5498122957039346,-3.1260676334067425,1.0971322649547044,-0.07502171241036867,0.32584113489634625,1.1245138888274888,0.6910247945756759,-0.2184337108179113,2.923004656446619,-1.6179202176224736,1.3226413364576224,0.3762600487146324,1.3325724553514333,0.6139418212289616,-0.05339516020084356,1.781269170281523,0.4323416733800992,2.1147205160023796,-0.9347658540872542,0.32556198212746523,-0.9747624204993108,0.7032932441179428,-1.4278083991352708,2.3020980302846774,1.4981360379532709,-0.5430490067232434,-2.4931699693632288,-1.9577489925328404
9,0,0,anger,10,3.32,2911.68756969529,2322.779411465876,1475.9005126953125,9.820674464464404e-05,0.007416338,-2.046230718900499,1.1050217276582124,-1.3934958939134303,0.3077101564187629,-0.2873972223827649,-1.1580234895405825,0.5135240935613354,-0.3289367385670268,9,0.8715966846386407,0.7489828891525295,0,-4.085409568240536,-5.867633655262371,-0.6974013933076844,-0.39164173443397693,-2.4334051803653827,3.563469667033953,-0.9567565559479145,-1.257148865168678,0.44583460657577595,1.052344884549571,1.4853045496039008,4.450900072370742,-0.5816456767047713,0.2977360990042099,-0.2282066458141019,-1.25657108886301,1.6552514919860735,0.5784932376975345,0.07191862614893688,0.1455171845944005,0.3701950204182656,0.3922300324249251,-1.221208792792984,0.15998390756447806,-1.151205402316412,0.8640450944788097,-1.21920975890604,-0.17457699297105717,-0.012483465572807884,0.876605668850625,-0.5961057832241277,1.5891867219248519,1.1981536071199912,0.46288867984042237,0.1242078579950463,0.2012683691010731,1.8969343183057996,-0.06085015051563475,-0.7936143705505676,-0.7599447038741063,0.9043315961158236,0.45914570846765845,-2.6481027130879,-0.6361274789052512,0.826572508472754,0.37221658670727453,1.1956859782591847,-0.3406794743766257,-0.7152763635038233,-0.06417367138174862
10,0,0,anger,11,2.17,3113.8801208371297,2551.937528889306,1852.40869140625,0.0002169570851896,0.010425482,-1.2285319176418084,0.09229927696456192,0.6588021826850583,0.5065793974343646,-0.17934708077526879,-1.221849487385814,-0.2134238233983181,-0.6238041123562883,10,0.5052446180897461,0.96703208634848,0,7.414406342403146,11.92785566520714,-4.7511950478304215,2.1098732049656435,4.387839907847402,-9.557488024797292,1.5958725995301193,1.7747767496859654,-4.510797557723331,-4.988277665745484,2.0823036714167302,-2.923527108265045,-1.2630248679068863,5.943236624978896,0.09042212365161817,8.273533171757585,0.248644641382898,2.632623698799662,-3.6129711761045247,-0.6242930689505104,1.8082268209913857,2.324944569938646,2.769501087900954,-2.5240460300159815,-3.443307527758823,2.4338807424511053,-1.53125695827446,1.5694339176879832,-0.22104301160540696,3.797641412958961,-1.9838747347730559,0.287140319673454,-2.067904954926799,-0.09336399363206513,-0.6239060916852699,-1.11136687121597,-0.34518173980693084,3.1456696077915223,-1.710020191198454,2.229739807967349,-2.6493075386315974,-1.6502611209527933,3.071790635591531,0.19568673289945804,-0.4809959526270848,4.68794342541679,2.448713374236056,0.6666331221360675,-1.0415917190587232,-4.172806045019088
15,0,0,anger,16,1.94,2620.976108125162,2432.6099319567093,1627.0909423828125,0.0003583032012467,0.013730361,-0.9277936574394083,-0.96962203264799,-1.8298351098530483,1.2321579117017,0.35736288992061493,0.6893760245057383,1.2380098494750869,0.24224954023595166,15,0.4937045167274325,0.8775377187909037,1,-4.807813996752359,-4.929313761292218,2.3846403692110343,-4.733797586385134,-2.24408230118047,-2.716545611272791,0.803447050864775,1.541559078790327,-2.7420466764798896,2.761043545118842,-1.7409870830577983,-3.053898893892152,0.6058408740223705,-0.4426569131106759,-4.423810106070728,-1.2297421319571264,2.4773348984773453,1.1506765080349388,-0.0803325264222653,-2.8869457274238632,-2.0434105851910638,-1.6697279139594023,3.94617375303252,-4.44274741819247,0.6287058995861512,-0.0627135587650482,2.0900265397930546,-0.3199053726725982,-2.0055693441555538,-1.5410566367273475,-1.5864777022954506,-1.162911839331746,1.1346043823851333,-3.353988190145866,5.423487671374482,-0.43028453961174684,4.833656939690388,0.19580116759290556,-2.4582974065378718,-3.3411595232930047,-2.2256881398970245,-1.5616086754245795,1.2661987493759064,2.1618779449957146,-2.6078161388556635,-2.1839594967452363,-2.4690637355424587,2.251463610219327,-0.7662351276486834,2.765786161992702
16,0,0,anger,17,3.4,3364.44966547827,3241.8798920182057,1558.0977783203125,0.0002145154071964,0.009002645,1.9578721018163308,1.553208390248754,-0.7026542525395397,0.17728925306811855,-0.37266758964813523,-0.842364723207936,-0.6573173893396049,-0.38763573081300273,16,0.0,0.0,0,-0.6365595912082133,-1.053120447325861,-3.1613285126407527,-4.5777649754110366,-4.278324938840414,0.9744472023154578,6.129148141023511,4.2276874227613455,-1.5298158468513892,-5.224444476625541,-7.20461260176796,0.15858804522403336,1.158926061595515,2.307280491143764,-0.3457481403313069,2.007912284412336,2.1532205815923575,1.1963757893459057,0.43460507194672593,-0.5790879952472594,2.8066030456893567,-3.2438742015919644,2.9703005133648164,-2.9600848452045536,-1.7385639269947148,4.2821499131968555,-4.848286019980357,8.778681488273495,1.0858792045205379,-2.570895428585782,0.49277619704726694,1.7564963826585198,2.214498950589354,0.7393550952719761,-1.6556572374950402,-0.7254210224869111,-1.9927743355376688,-4.983023038583362,2.2915187719113894,3.695482037658128,-4.390137361491334,-3.7155971412376885,-3.0072629600315715,0.7816069542149456,-1.1763955835118192,3.3386642753919533,2.820811405169246,-3.0731049654458404,2.0041353621260902,-5.080381327647647
18,0,0,anger,19,3.94,3720.654738425303,2869.710471732772,1824.0667724609373,0.0001591011578752,0.009048348,-1.9572379851698316,0.10025044392721,-0.5422584148469665,1.1212810965780677,-1.0490575850193953,-0.7051214327457295,-0.5209999118099624,-0.6173142475743407,18,0.970339429395408,0.871335154358614,0,-0.3498600815094294,-5.7484750201808925,-0.5890139900014244,-2.6495494670526663,1.9089534252606162,-3.921272900556761,4.181596146992803,0.9706596135619232,-0.5674115598200179,-0.7043451397661806,0.26804933117556096,-2.4754693881522325,2.047844566462339,0.5495023363402638,0.6429944999490245,2.4106124390988732,1.0258023228621738,-0.9022869065999687,-1.4549875523548153,-2.188855407827937,-0.6348501979138406,0.6854774893801998,1.3019270441747253,-1.7262111069297634,2.5816530754118467,0.8641956918558659,-1.9055110428762352,-4.865082050144419,-1.11869199249508,-0.13308159530302294,-0.7986958023878242,2.685347790866947,-0.9527170912224102,-3.7663239852313497,-0.941554837391105,2.5128801509113434,-1.3360473512445123,0.446600546611946,1.3347849287190685,3.2560227651437526,-1.6048945214100172,-0.9315248754221163,-0.7550214984151825,0.10044572748806524,0.15281461438806962,1.2925519661757274,1.1782248740899233,1.4099522117112764,2.9228921083042967,0.39295736172486406
19,0,0,anger,20,5.013333333333334,4668.807976521638,2758.341800668073,1811.7418212890625,0.0005351181994093,0.014888265,-0.9745382404414521,0.21953575981325957,-0.29865817834278,0.7038109115217099,1.0155826912090493,2.172991507660541,-0.9744628447672263,1.043229957585595,19,-0.7960560432636005,0.8800588898373923,0,-4.273708106250139,-5.472068238078634,-1.3384128227412302,-2.3858351946397285,-0.08867461938636784,1.7431105748133318,-0.6801599002033059,-1.1553252334609343,-0.3446382546340964,-0.40519459648829115,-0.5030912975199496,-1.6128382032261905,0.9239873958436118,0.010028839620899788,-1.0666626841171984,1.9227204336498709,-0.6974983097276978,-0.44634268494828855,1.36928968771275,-0.9528604319123108,3.5092225735156495,-0.4393733015934206,-0.06252508275322811,2.696038504766671,-0.41515854866173485,0.2617430782307359,3.2950352587207563,-1.2290520932473592,-0.4717301610393987,0.9683557773356665,0.07542250578898485,0.41001722299041027,1.6132978467535362,-0.6566096443371053,0.6914473666003422,-1.0761087702074674,-0.09075552716764157,1.3527799561392038,-1.1526528707225094,0.45757598459207216,-0.24887538348031224,-0.23345208797925132,2.0489132394126024,0.037653571612798475,0.7326275819272381,-0.20210692887655407,1.3879018311399023,-0.5816999882851971,0.937706612983953,2.5726614824775114
24,0,0,anger,25,3.0,3007.539308484113,2115.8451942226834,1697.65185546875,0.0012330049614246,0.02677908,-0.25370672818988066,-1.939075389292142,1.0871286534598483,0.5215509928567026,1.4245468652917879,-0.05721882283887572,-0.11662823785337662,-0.625253276931948,24,-0.92956486875455,0.951491563262075,0,-1.7073568331334799,-2.914385298748238,-0.6205750184999754,0.6139387347921774,0.7047145841267912,-0.9465617107328191,1.4874215134102757,-1.4543187267715143,1.2029187938595602,1.562833895423839,0.11769966028228074,-2.476018642051594,-0.30497660083976563,0.4928338603671044,-1.2891147948025026,1.370685418374817,1.0639126399491339,-1.6649175828709601,0.8673357003683831,0.8834402173182956,0.8251468962875322,0.46089208747901683,0.4467460417252085,0.36118275797728505,1.9138394444475466,-0.3158329620827733,-1.2938711715813032,-1.14725277037184,-1.720825385462601,-1.944317628037966,-1.3832567517287029,-1.1424206607632459,2.266859054494446,0.6967606650527225,-0.6236376456738755,0.7828048639794083,0.6052994757735484,2.4872526001275306,-0.021138773185421206,-0.24992909316943754,-0.9419724085486838,0.3551873113585642,-0.595391222238649,1.4355689232410436,-1.7593956955312913,0.03989990466507498,-2.003365882454261,0.3470506735848028,0.4269470686951594,1.3684140033065808
25,0,0,anger,26,13.397333333333334,3881.86821583378,3574.5501030580485,1588.8843994140625,6.800471763512131e-05,0.0051599564,-1.01516849375431,-2.5295801506719124,1.3013964044388648,-0.5980637121624528,-0.39880595895766735,0.675081494906475,-0.009600831473038751,0.7522510388972361,25,-0.2102861486729192,0.7475890993412792,1,-0.2607816672916994,2.745146998119361,-4.175886571102655,0.8011788234826432,2.316779146000976,-3.8976174734900333,2.937630353322901,-3.6310011323956273,-1.4474607977604697,-0.3061010439271994,2.5190515386183927,-2.3759344490731245,-1.4311055596280746,2.8054240819342895,0.8957795641787163,2.007156095637283,-0.5865876446163197,0.605292708865413,3.4882785203909576,-1.0770844551222032,-0.6537095031493261,0.3136279438497612,-0.2671533279802011,-0.3342861186196594,-0.5345396382993847,-0.40253187866937706,-1.4651531987392796,-0.7992736616468884,0.4694961165970917,-0.2508572729250374,-0.20516668604127963,1.4285658520973574,0.27581765202150726,0.8658237645587328,1.7800762176683986,0.2406656362524093,-0.09992914148049482,2.755365197827597,1.769052870053509,-0.9893903036741363,1.741688385879991,-0.49534399480916247,1.8244930588705515,0.6470734713521751,-1.4371517968836474,0.5085419619643239,-0.9181895919936193,0.42344933986396865,1.4634416896327491,0.5282659383398832
30,0,0,anger,31,2.23,2561.8965736337423,2080.4007036592725,1513.055419921875,0.0002530934665346,0.012560165,0.9251067555250896,1.159549672779124,-1.5093014700314251,-0.12370927558081202,1.4231885608233297,-1.3084004466224382,-0.052766032765878546,0.35200155379332465,30,0.0,0.0,1,3.6312908688979895,-2.773297601465238,2.7013787711738906,-2.244887952994132,2.1314831407505515,1.3248767079166175,-1.5811726183728254,1.0451985626223594,-0.2265995140938895,2.878645259364984,-0.7248417860486479,-0.7460266120799847,-4.014006602845425,-2.3045188442507882,3.1414351113619894,2.0684657932337736,5.192360953930191,-5.894054079905734,-3.28033856150036,-0.43985346966345656,-3.5845690396480325,0.9377552277023584,0.002256545587408877,-5.624129659879324,-2.33215870990272,-1.0596620509658194,0.4957738668432953,3.289191916420509,-1.599969418789434,-1.9842403197649214,0.25428160196566446,-2.216103191352696,-1.6395517427634483,-1.1374876605026363,-0.2581141967127538,2.2725236740490664,-6.074580323558843,0.11257952993063736,2.9057477774373215,-3.749757618763006,-2.8606804872764022,-0.2904680164990381,1.742202435800693,-2.596477948440788,0.813199965627077,0.9334802533330662,1.3919443441456938,1.7955696244090582,-0.019159455953912663,1.479454074722272
